mediaID,mainTitle,broadcaster,longSummary,shortSummary,icons,subTitle,thumbnail,shareLink,Topic,season
POW_03051908,Hallo Nederland,MAX,"Nierpatiënten moeten gemiddeld 3 jaar wachten op een nier van een overleden donor. Al jaren discussieren politici over het verruimen van de wet om meer donoren te werven. De Nierstichting wil niet langer afwachten, maar ook inzetten op een andere groep donoren. Want ook bij leven kun je een nier afstaan en ook dat zou de veel te lange wachttijd voor een nier korter maken * Landelijk lopen kerken massaal leeg, maar in Barneveld groeit het geloof harder dan ooit. De kerken daar hebben grote invloed op het dagelijks leven: de scholen, de kranten en de politiek. En dat trekt gelovigen aan uit heel het land. Zoveel zelfs dat veel inwoners bang zijn dat er voor niét-gelovigen, in de toekomst geen plek meer is * Studenten van de technische universiteit gingen vandaag in Wageningen de strijd met elkaar aan om hun zelf ontworpen zeiljacht de snelste van NL te laten zijn. En uit onderzoek blijkt dat mannen die ziek zijn dit heftiger ervaren dan vrouwen. Dat komt door het stofje oestrogeen. Vrouwen maken dit wel aan, maar mannen niet","Nieuwsprogramma met actuele, ontroerende en verrassende verhalen van eigen bodem.",leeftijd-al,15 jan 2016 16:40 - Seizoen 1 Afl. 10 - Hallo Nederland,https://images.npo.nl/header/2560x1440/698323.jpg,https://www.npostart.nl/POW_03051908,44,1
VPWON_1293654,A'dam - E.V.A.,None,"Het is herfst. De stad maakt zich op voor Halloween. Adam en Eva zijn al maanden uit elkaar en hebben elkaar al die tijd niet gezien. Als het lichaam van een jonge dakloze wordt gevonden, beseft Adam dat het om Eva's broer Gijsbrecht moet gaan. Eva wil zelf de begrafenis voor haar broer regelen.","Het is herfst. Adam en Eva zijn al maanden uit elkaar en hebben elkaar al die tijd niet gezien. Als het lichaam van een jonge dakloze wordt gevonden, beseft Adam dat het om Eva's broer gaat","leeftijd-12,geweld,seks,discriminatie",12 jul 2018 23:05 - Seizoen 1 Afl. 8 - Hamsterdam,https://images.npo.nl/header/2560x1440/1068698.jpg,https://www.npostart.nl/VPWON_1293654,44,1
POW_04085402,Missie MAX,MAX,In Missie MAX worden het uitgezonden personeel en hun relaties in het zonnetje gezet. Tijdens dit evenement hebben de relaties van iedere uitgezonden militair één minuut de tijd om een kerstgroet voor ze op te nemen. Jan Slagter brengt de boodschappen aan de uitgezonden militairen.,Tijdens Missie MAX hebben de relaties van iedere uitgezonden militair één minuut de tijd om een kerstgroet op te nemen.,leeftijd-al,27 dec 2018 03:05 - Seizoen 2018 Afl. 2 - Kerstgroeten 2018 - Afl. 2,https://images.npo.nl/header/2560x1440/1170614.jpg,https://www.npostart.nl/POW_04085402,54,2018
AT_2114492,MORTEN,AVROTROS,"De dood is niet alleen in Mortens privéleven binnengedrongen, maar dreigt nu ook zijn politieke carrière te breken, als het experiment met de Drion zelfmoordpil uit de hand loopt. Marijn weet de waarheid hierover een leugenachtige draai te geven en stijgt in Mortens aanzien. Een onverwacht telefoontje brengt het gezinsleven van Mo Limam in grote verwarring.","De dood is niet alleen in Mortens privéleven binnengedrongen, maar dreigt nu ook zijn politieke carrière te breken, als het experiment met de Drion zelfmoordpil uit de hand loopt.","leeftijd-12,angst,drugs_en_alcohol",19 mei 2019 21:15 - Seizoen 1 Afl. 7 - Kelly,https://images.npo.nl/header/2560x1440/1191036.jpg,https://www.npostart.nl/AT_2114492,54,1
VPWON_1298953,Naches,EO,"Noam Vazana is een professionele artieste. Ze treedt op over de hele wereld en heeft alles in zich om door te breken naar het grote publiek, maar wat niet veel mensen weten is dat ze ook vrolijke popliedjes maakt met een zangkoor.",Noam Vazana is een professionele artieste. Ze treedt op over de hele wereld en heeft alles in zich om door te breken naar het grote publiek.,leeftijd-al,11 feb 2019 01:20 - Seizoen 2018 Afl. 7 - Noam Vazana,https://images.npo.nl/header/2560x1440/1189223.jpg,https://www.npostart.nl/VPWON_1298953,54,2018
POW_04414877,Goedemorgen Nederland,WNL,Te gast zijn Tweede Kamerlid van de PVV Fleur Agema en strafrechtadvocaat Jillis Roelse. Met hen hebben we het over het kort geding dat IS-vrouwen hebben aangespannen tegen de staat en we praten over de meest succesvolle lobby van de afgelopen jaren: die voor de ouderenzorg.,Te gast zijn Tweede Kamerlid van de PVV Fleur Agema en strafrechtadvocaat Jillis Roelse.,leeftijd-al, 1 nov 2019 08:10 - Seizoen 2019 Afl. 45 - Goedemorgen Nederland,https://images.npo.nl/header/2560x1440/1286733.jpg,https://www.npostart.nl/POW_04414877,37,2019
WO_KN_16328284,Spot On,KRO-NCRV,In deze nieuwe Spot On video bespreken we samen met Nada el Irari de keuze om haar hoofddoek af te doen. Ook bespreken we waarom Nada 5 jaar geleden is begonnen met het dragen van een hoofddoek.,In deze nieuwe Spot On video bespreken we samen met Nada el Irari de keuze om haar hoofddoek af te doen. Ook bespreken we waarom Nada 5 jaar geleden is begonnen met het dragen van een hoofddoek.,"leeftijd-al,grof_taalgebruik",26 okt 2020 09:00 - Seizoen 5 Afl.  - Waarom Nada ervoor heeft gekozen om haar hoofddoek af te doen,https://images.npo.nl/header/2560x1440/1497875.jpg,https://www.npostart.nl/WO_KN_16328284,54,5
POW_03746485,Goedemorgen Nederland,WNL,"Te gast zijn PVV-Kamerlid Harm Beertema en economisch journalist Suzanne Streefland. Met hen hebben we het over de kwaliteit van het onderwijs, want die staat flink onder druk, en over de glastuinbouw in Nederland, die groeit namelijk als kool.",Te gast zijn PVV-Kamerlid Harm Beertema en economisch journalist Suzanne Streefland. met hen hebben we het over de kwaliteit van het onderwijs en de glastuinbouw.,leeftijd-al,18 apr 2018 07:40 - Seizoen 2018 Afl. 63 - Goedemorgen Nederland,https://images.npo.nl/header/2560x1440/1038332.jpg,https://www.npostart.nl/POW_03746485,44,2018
POW_04439878,Zappbios: Binti,VPRO,"Jeugdfilm. De twaalfjarige Binti droomt ervan om een bekende vlogger te worden, net zoals haar idool Tatyana. Maar als ze op een dag met haar papa moet vluchten voor de politie, die hen het land wil uitzetten, ontmoet ze Elias. Terwijl Binti haar nieuwe vriend Elias al vloggend helpt met zijn Red de Okapi Club, rijpt er bij haar een perfect plan: Papa moet trouwen met de moeder van Elias, zodat ze in het land kunnen blijven. Kinderen kunnen al vloggend hun dromen waarmaken. Zoals Binti, die het recht opeist om te dromen, net zoals haar leeftijdsgenoten.","Kinderen kunnen al vloggend hun dromen waarmaken. Zoals Binti, die het recht opeist om te dromen, net zoals haar leeftijdsgenoten.","leeftijd-6,angst",Jeugd - Film,https://images.npo.nl/header/2560x1440/1491628.jpg,https://www.npostart.nl/POW_04439878,54,0
BV_101386494,3 op Reis Midweek,BNNVARA,"Deze hele week staat in het teken van winter escapes en daarom is Sahil in het zuiden van Portugal, waar hij door de Algarve reist. Inmiddels is hij aangekomen in Faro, de hoofdstad van de Algarve, waar je de Portugese cultuur kunt opsnuiven en goed op stap kunt. Maar wat veel mensen niet weten is dat tussen deze stad en het strand een bijzonder natuurgebied ligt: de Ria Formosa. En dat is precies waar Sahil vandaag heen gaat. We blikken terug op Evi die aan de winter ontsnapt op Kreta, en op Dennis die het nachtleven van Tel Aviv induikt, want ook daar blijft het in de winter zacht.","Sahil is in het zuiden van Portugal, waar hij door de Algarve reist. Inmiddels is hij aangekomen in Faro, de hoofdstad van de Algarve, waar je de Portugese cultuur kunt opsnuiven en goed op stap kunt.","leeftijd-al,grof_taalgebruik",25 jan 2018 19:50 - Seizoen 3 Afl. 14 - Winter Escapes (4/5),https://images.npo.nl/header/2560x1440/1003628.jpg,https://www.npostart.nl/BV_101386494,59,3
